Date, Time, Temperature
2017-05-01,0,1.4
2017-05-01,1,0.9
2017-05-01,2,0.3
2017-05-01,3,-0.5
2017-05-01,4,-0.5
2017-05-01,5,-0.5
2017-05-01,6,-0.6
2017-05-01,7,-0.2
2017-05-01,8,0.3
2017-05-01,9,4.8
2017-05-01,10,7.1
2017-05-01,11,8.6
2017-05-01,12,9.9
2017-05-01,13,11.2
2017-05-01,14,12.5
2017-05-01,15,13.1
2017-05-01,16,13.4
2017-05-01,17,14.1
2017-05-01,18,14.3
2017-05-01,19,14.2
2017-05-01,20,11.7
2017-05-01,21,7.6
2017-05-01,22,5.8
2017-05-01,23,4.0
2017-05-02,0,3.6
2017-05-02,1,2.6
2017-05-02,2,1.8
2017-05-02,3,1.4
2017-05-02,4,1.1
2017-05-02,5,1.2
2017-05-02,6,1.2
2017-05-02,7,1.8
2017-05-02,8,3.2
2017-05-02,9,6.7
2017-05-02,10,8.6
2017-05-02,11,10.1
2017-05-02,12,11.5
2017-05-02,13,12.8
2017-05-02,14,13.6
2017-05-02,15,14.4
2017-05-02,16,15.4
2017-05-02,17,16.1
2017-05-02,18,16.0
2017-05-02,19,15.1
2017-05-02,20,12.0
2017-05-02,21,8.0
2017-05-02,22,5.6
2017-05-02,23,4.4
2017-05-03,0,3.8
2017-05-03,1,3.4
2017-05-03,2,2.2
2017-05-03,3,1.7
2017-05-03,4,2.1
2017-05-03,5,2.0
2017-05-03,6,2.6
2017-05-03,7,3.4
2017-05-03,8,3.6
2017-05-03,9,7.2
2017-05-03,10,9.2
2017-05-03,11,10.4
2017-05-03,12,11.8
2017-05-03,13,12.2
2017-05-03,14,13.7
2017-05-03,15,15.1
2017-05-03,16,15.7
2017-05-03,17,16.4
2017-05-03,18,17.0
2017-05-03,19,17.1
2017-05-03,20,14.8
2017-05-03,21,10.6
2017-05-03,22,7.9
2017-05-03,23,6.6
2017-05-04,0,5.9
2017-05-04,1,4.7
2017-05-04,2,5.0
2017-05-04,3,4.7
2017-05-04,4,3.6
2017-05-04,5,3.1
2017-05-04,6,3.1
2017-05-04,7,4.3
2017-05-04,8,3.7
2017-05-04,9,8.0
2017-05-04,10,10.6
2017-05-04,11,11.6
2017-05-04,12,13.1
2017-05-04,13,14.7
2017-05-04,14,15.3
2017-05-04,15,16.2
2017-05-04,16,16.8
2017-05-04,17,17.6
2017-05-04,18,17.2
2017-05-04,19,16.6
2017-05-04,20,14.4
2017-05-04,21,10.4
2017-05-04,22,8.0
2017-05-04,23,6.5
2017-05-05,0,6.3
2017-05-05,1,5.8
2017-05-05,2,5.3
2017-05-05,3,6.9
2017-05-05,4,6.4
